                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.3084,                 2.2913,                  2.202,                 1.2431,                0.38454,                0.33333,                0.21719,                0.05623,                0.38454,                0.33333,                0.21466,                0.05968,                 3.1823,                 7.1904,                 7.0504,                 2.6054,               0.007822,               0.007822,               0.007822
                     25,                 2.2611,                 2.3615,                 2.0537,                  1.185,                0.65931,                0.19048,                0.08197,                0.02643,                0.90754,                0.19048,                0.23076,                0.05118,                 2.9893,                  7.519,                 12.039,                 2.3204,               0.007723,               0.007723,               0.007723
                     26,                 2.0523,                 2.1859,                 2.0402,                 1.1954,                0.43634,                0.40327,                0.39848,                0.15158,                0.43634,                0.40327,                0.40211,                 0.1696,                  2.334,                 6.5109,                 12.134,                 1.7316,               0.007624,               0.007624,               0.007624
                     27,                 2.3833,                 2.4416,                 2.3971,                  1.217,                0.17315,                0.28571,                0.30059,                0.10417,                0.20568,                0.42857,                0.37084,                 0.1259,                 2.5441,                 8.1307,                 3.4937,                 1.6302,               0.007525,               0.007525,               0.007525
                     28,                 2.0901,                 2.2176,                 2.1674,                 1.2891,                0.17859,                0.28571,                0.21477,                0.05901,                 0.1967,                0.28571,                0.31973,                 0.1144,                 2.5031,                 4.2432,                 15.557,                 1.7637,               0.007426,               0.007426,               0.007426
                     29,                 2.1137,                 2.1121,                 2.1769,                 1.2372,                0.05103,                0.61905,                0.21489,                0.07075,                0.19761,                0.28571,                 0.2379,                0.09754,                 2.5025,                 5.3585,                 28.177,                 2.0964,               0.007327,               0.007327,               0.007327
                     30,                 2.2908,                 2.3169,                 2.2357,                 1.2457,                0.95259,                0.14286,                0.25281,                 0.0879,                0.95259,                0.14286,                0.28834,                0.16402,                 2.5812,                 5.2941,                  12.24,                 2.0737,               0.007228,               0.007228,               0.007228
                     31,                 2.1546,                 2.2652,                 2.0023,                  1.217,                0.96238,                0.14286,                0.25565,                0.09862,                0.32514,                0.36571,                0.30895,                0.15055,                  2.518,                 5.4864,                 3.8655,                 1.9522,               0.007129,               0.007129,               0.007129
                     32,                 2.0348,                 2.1503,                 1.9764,                 1.0923,                0.76989,                0.22665,                0.27124,                0.13597,                0.79136,                0.32539,                0.25566,                0.15452,                 2.2685,                 4.2292,                 1.8199,                 1.6636,                0.00703,                0.00703,                0.00703
                     33,                 2.0323,                 2.1936,                 1.8464,                 1.1723,                0.81442,                0.21571,                0.32637,                0.17505,                0.65111,                0.33333,                0.32521,                0.19258,                 2.0913,                 3.4097,                 1.6813,                 1.5262,               0.006931,               0.006931,               0.006931
                     34,                 2.1164,                 1.9022,                 1.8803,                 1.1335,                0.51409,                0.45727,                 0.3277,                0.12546,                0.51409,                0.45727,                0.31155,                0.18979,                 2.1704,                 2.5408,                 1.5327,                 1.6823,               0.006832,               0.006832,               0.006832
                     35,                 2.1544,                 2.2077,                 1.9582,                  1.211,                0.59848,                0.47619,                0.35518,                0.15681,                0.59848,                0.47619,                0.33452,                0.20348,                 2.0907,                 2.3477,                 1.7163,                 1.6294,               0.006733,               0.006733,               0.006733
                     36,                 1.9717,                 1.9739,                 1.9345,                 1.1474,                0.79452,                0.47619,                0.37281,                0.19465,                0.79452,                0.47619,                0.36607,                0.17281,                  2.109,                 2.5696,                 1.6904,                 1.5756,               0.006634,               0.006634,               0.006634
                     37,                 2.2496,                 2.4698,                 2.1872,                 1.1763,                0.76998,                0.27557,                0.35148,                0.16855,                0.76998,                0.27557,                0.34073,                0.12848,                 2.0262,                 3.6415,                 1.9734,                 1.5436,               0.006535,               0.006535,               0.006535
                     38,                 1.9019,                 2.0874,                  1.947,                  1.151,                 0.2888,                0.47619,                0.32364,                0.14087,                0.89908,                0.33333,                0.40545,                0.19251,                 2.2956,                 2.4965,                 1.5107,                 1.9435,               0.006436,               0.006436,               0.006436
                     39,                 1.8984,                  1.969,                 1.8769,                 1.2001,                0.54312,                0.52381,                0.40929,                0.16808,                0.55781,                0.52381,                0.53463,                0.26088,                 2.3136,                 2.3941,                 1.6643,                  1.923,               0.006337,               0.006337,               0.006337
                     40,                 2.0013,                 2.0359,                 1.6978,                 1.1249,                0.63219,                0.38198,                0.44154,                0.24702,                0.67946,                0.52381,                0.50602,                0.32692,                 1.9105,                 1.7885,                 2.0331,                 1.4568,               0.006238,               0.006238,               0.006238
                     41,                 1.9404,                 1.8249,                 1.7263,                 1.0743,                0.62985,                0.38095,                0.44681,                0.24506,                0.69213,                0.52381,                 0.4727,                0.32074,                 1.8027,                 1.6297,                 2.1224,                 1.3238,               0.006139,               0.006139,               0.006139
                     42,                 2.0073,                 2.1027,                 1.9871,                 1.1029,                0.48855,                0.57463,                0.60546,                0.28993,                0.46314,                0.52381,                0.53439,                0.34078,                  1.789,                 1.5597,                 2.3085,                 1.2883,                0.00604,                0.00604,                0.00604
                     43,                 2.1458,                 1.7227,                  1.865,                 1.2028,                0.35941,                0.61247,                0.60568,                0.30252,                0.38592,                0.75009,                0.63503,                0.35719,                 1.8128,                 1.6336,                 2.0614,                 1.2702,               0.005941,               0.005941,               0.005941
                     44,                 2.0101,                 1.7752,                 1.8315,                 1.0862,                0.40402,                0.38095,                0.55169,                0.27912,                 0.4725,                0.52381,                0.57575,                0.28672,                 1.7593,                 2.5636,                 2.0656,                 1.1496,               0.005842,               0.005842,               0.005842
                     45,                 1.9942,                 1.9871,                 1.7404,                 1.1779,                0.77988,                0.36837,                0.45238,                 0.2604,                0.80924,                 0.4271,                0.52646,                0.26704,                 1.7276,                 2.4335,                 1.8449,                  1.194,               0.005743,               0.005743,               0.005743
                     46,                 1.7988,                 1.6721,                 1.7526,                   1.09,                0.86493,                0.42857,                0.44938,                0.27426,                0.86493,                0.42857,                0.52357,                0.27476,                 1.8059,                 2.3866,                 1.6486,                 1.3093,               0.005644,               0.005644,               0.005644
                     47,                  1.832,                 2.1955,                  1.809,                 1.0628,                0.88567,                0.42857,                0.50103,                0.29242,                0.88567,                0.42857,                0.49075,                0.22758,                 1.7644,                 2.1435,                 1.4932,                  1.282,               0.005545,               0.005545,               0.005545
                     48,                 1.9734,                 2.1997,                 1.8955,                 1.0539,                0.89329,                0.33333,                0.49067,                0.29513,                0.89329,                0.33333,                 0.4379,                0.24984,                 1.8127,                 1.8552,                 1.2789,                 1.3071,               0.005446,               0.005446,               0.005446
                     49,                 1.8979,                 1.9044,                 1.7003,                 1.0719,                0.88375,                0.38095,                0.51966,                0.34985,                0.88375,                0.38095,                0.44859,                 0.2604,                 1.6786,                 1.7429,                  1.192,                 1.2801,               0.005347,               0.005347,               0.005347
                     50,                 1.9689,                 2.2607,                 1.7941,                 1.1149,                0.93565,                0.39453,                0.58634,                0.34551,                0.93565,                0.39453,                0.51527,                0.30551,                 1.5948,                 1.7816,                 1.1958,                 1.2962,               0.005248,               0.005248,               0.005248
                     51,                 1.9366,                 1.7705,                 1.6359,                 1.1688,                0.94327,                0.37123,                0.69893,                0.41309,                0.94327,                0.37123,                0.64365,                0.37212,                 1.5255,                 1.7084,                 1.1641,                 1.2207,               0.005149,               0.005149,               0.005149
                     52,                 1.9238,                 2.1601,                 1.7508,                 1.0561,                0.66688,                0.55038,                0.70986,                0.37506,                0.65167,                0.52381,                 0.6044,                0.30579,                 1.5794,                 1.7378,                 1.2765,                 1.1447,                0.00505,                0.00505,                0.00505
                     53,                  1.795,                 1.7844,                 1.6452,                 1.0599,                0.90353,                0.52183,                   0.77,                0.39216,                0.82913,                0.47421,                 0.6186,                0.30086,                 1.6213,                 1.7512,                 1.2866,                 1.1319,               0.004951,               0.004951,               0.004951
                     54,                 1.7945,                 1.7494,                 1.6087,                 1.0508,                0.65268,                0.69084,                0.73555,                 0.3744,                0.58294,                0.61905,                0.59618,                0.27268,                 1.7036,                 1.8368,                 1.3136,                 1.1683,               0.004852,               0.004852,               0.004852
                     55,                 1.8869,                 2.0106,                 1.7114,                 1.0597,                0.74648,                0.68154,                0.78179,                0.36235,                0.67295,                0.62439,                0.63595,                0.32545,                 1.6243,                 1.7946,                  1.332,                 1.1502,               0.004753,               0.004753,               0.004753
                     56,                 1.9992,                 1.8029,                 1.8282,                 1.0935,                0.43328,                0.85714,                   0.77,                0.34303,                0.36988,                0.71429,                0.70591,                0.35074,                 1.7542,                 1.9537,                 1.4688,                 1.1751,               0.004654,               0.004654,               0.004654
                     57,                 1.7761,                  1.979,                 1.7241,                 1.0465,                 0.6157,                0.80952,                0.77302,                0.37359,                0.57186,                0.66667,                0.66439,                0.36411,                 1.7807,                 1.8659,                 1.5238,                 1.1571,               0.004555,               0.004555,               0.004555
                     58,                 1.9436,                  1.943,                 1.7378,                 1.0346,                0.49397,                0.79955,                0.70189,                0.34128,                0.32981,                0.61905,                0.62614,                0.27066,                 1.7863,                 2.0356,                 1.5555,                 1.1375,               0.004456,               0.004456,               0.004456
                     59,                 1.7775,                 1.8468,                 1.6621,                 1.1117,                0.42979,                 0.7063,                0.63031,                0.32196,                0.42427,                0.65724,                 0.5791,                0.27453,                 1.7277,                 2.1118,                 1.5196,                 1.1241,               0.004357,               0.004357,               0.004357
                     60,                  1.806,                 2.1515,                 1.6055,                 1.0325,                0.70794,                0.68646,                0.69893,                0.37567,                0.64143,                0.55343,                 0.6323,                0.25715,                 1.6261,                 1.7243,                 1.2107,                 1.0671,               0.004258,               0.004258,               0.004258
                     61,                 1.8649,                 1.6912,                 1.7266,                 1.0546,                0.50565,                0.65946,                0.69893,                0.41361,                0.63854,                0.56125,                0.63293,                0.32285,                 1.5791,                 1.5662,                 1.2574,                 1.0542,               0.004159,               0.004159,               0.004159
                     62,                 1.7485,                 1.6401,                 1.5258,                 1.0397,                0.83357,                0.57143,                0.75908,                0.46409,                0.79144,                0.52381,                0.68836,                0.34319,                 1.4354,                  1.558,                 1.2248,                 1.0418,                0.00406,                0.00406,                0.00406
                     63,                 1.7615,                  1.902,                 1.6684,                 1.0714,                0.59008,                0.57143,                0.75858,                0.46307,                0.55954,                0.52381,                0.54916,                0.31751,                   1.48,                 1.6851,                 1.3349,                 1.0461,               0.003961,               0.003961,               0.003961
                     64,                 1.7112,                 1.8334,                 1.5346,                 1.0526,                0.86082,                0.38095,                0.53378,                0.31441,                0.86082,                0.38095,                0.46855,                0.30283,                 1.6112,                 1.9183,                 1.4488,                  1.103,               0.003862,               0.003862,               0.003862
                     65,                 1.6993,                  1.578,                 1.4362,                 1.0932,                0.37074,                0.52381,                0.61464,                 0.3353,                0.37074,                0.52381,                0.57403,                0.28595,                 1.6612,                 2.1331,                 1.5098,                 1.1159,               0.003763,               0.003763,               0.003763
                     66,                  1.597,                    1.6,                 1.6215,                 1.0431,                0.26201,                0.60927,                0.48109,                0.27295,                0.41736,                0.54313,                0.43577,                0.22516,                  1.742,                  2.686,                 1.8046,                 1.1508,               0.003664,               0.003664,               0.003664
                     67,                 1.8003,                 1.8198,                 1.5596,                 1.1091,                0.69398,                0.54713,                0.56541,                0.32459,                0.69398,                0.54713,                0.52012,                0.19194,                 1.6888,                 2.3058,                 1.7147,                 1.1539,               0.003565,               0.003565,               0.003565
                     68,                 1.7016,                  1.409,                 1.4948,                 1.0633,                0.87221,                0.61703,                0.72008,                0.39746,                0.87221,                0.61703,                 0.6727,                0.32837,                 1.5354,                 1.6849,                 1.3637,                 1.1205,               0.003466,               0.003466,               0.003466
                     69,                 1.7093,                 1.6776,                 1.5056,                 1.0118,                0.82975,                0.66139,                0.72139,                0.40583,                0.71996,                0.51853,                0.53186,                0.25113,                 1.4843,                 1.5749,                 1.3056,                 1.0965,               0.003367,               0.003367,               0.003367
                     70,                  1.714,                 1.8744,                 1.5059,                 1.0579,                0.78274,                0.66667,                0.73751,                0.36427,                0.69572,                0.52381,                 0.5586,                 0.2626,                 1.4286,                 1.5852,                 1.2909,                 1.1245,               0.003268,               0.003268,               0.003268
                     71,                 1.7555,                 1.6509,                 1.5028,                  1.035,                0.67916,                0.52381,                0.66644,                0.34249,                0.67916,                0.52381,                0.62496,                0.24386,                 1.4646,                 1.6288,                 1.2723,                 1.1365,               0.003169,               0.003169,               0.003169
                     72,                 1.6953,                 1.7819,                  1.472,                 1.0291,                 0.6665,                0.52381,                0.54661,                0.32731,                0.68667,                0.55765,                0.55582,                0.21872,                 1.5113,                 1.6654,                 1.1709,                  1.126,                0.00307,                0.00307,                0.00307
                     73,                 1.8526,                 1.7409,                 1.4893,                 1.0184,                0.63566,                0.52381,                0.63013,                0.37887,                0.63049,                0.52381,                0.63801,                0.24468,                  1.475,                 1.6166,                  1.142,                 1.1121,               0.002971,               0.002971,               0.002971
                     74,                 1.6661,                 1.6811,                 1.4671,                0.98941,                0.55319,                0.66667,                0.71267,                0.50839,                0.55319,                0.66667,                0.67713,                0.31869,                 1.4214,                 1.4623,                  1.066,                 1.0727,               0.002872,               0.002872,               0.002872
                     75,                 1.7093,                 1.7468,                 1.4955,                 1.0544,                0.36715,                0.73448,                0.73636,                0.52969,                0.38703,                0.66667,                0.66529,                0.36542,                  1.317,                 1.4205,                 1.0293,                 1.0313,               0.002773,               0.002773,               0.002773
                     76,                 1.6659,                 1.7163,                 1.5284,                 1.0447,                0.40849,                0.78447,                0.75229,                0.52448,                 0.3695,                0.80952,                0.73649,                0.39578,                 1.2121,                  1.374,                 1.0028,                0.99338,               0.002674,               0.002674,               0.002674
                     77,                 1.5519,                 1.4303,                 1.3952,                 1.0145,                0.42736,                0.80902,                0.75673,                0.51625,                0.36975,                0.80952,                0.71273,                 0.3753,                 1.2218,                 1.3618,                 1.0169,                0.98995,               0.002575,               0.002575,               0.002575
                     78,                 1.6726,                 1.6752,                 1.4898,                0.99933,                0.42138,                0.80952,                0.75046,                0.50574,                0.83876,                0.52381,                0.73625,                0.37973,                 1.2424,                 1.3434,                 1.0689,                0.99066,               0.002476,               0.002476,               0.002476
                     79,                 1.6785,                 1.5888,                 1.4155,                0.99733,                0.41338,                0.80952,                0.75215,                0.49361,                0.37166,                0.80952,                0.73636,                0.39631,                 1.2738,                 1.3619,                 1.1023,                 1.0006,               0.002377,               0.002377,               0.002377
